id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1823142,3 bedroom . Views of Strip . Walk to all actions.,9544240,Your Las Vegas Stay,,Unincorporated Areas,36.11547,-115.18993,Entire home/apt,180,30,32,2021-06-01,1.57,3,158,15,
1971546,Beautiful  Home-Great Location *Sanitized*,9316346,Rae,,Unincorporated Areas,36.01223,-115.15391,Entire home/apt,201,2,55,2021-06-27,1.83,1,112,12,
2028477,Cozy Jr 1 Bedroom 2 mile from strip,6963952,Ron,,Unincorporated Areas,36.09506,-115.14083,Entire home/apt,38,31,75,2020-12-16,0.82,4,338,2,
2040846,VEGAS Huge Penthouse HotTub on Balcony Stripviews,5775724,Cassandra And Bryan,,Unincorporated Areas,36.11421,-115.1988,Entire home/apt,1012,1,329,2021-06-28,11.69,19,239,104,
2041301,Private Guest House with RV Parking,622264,Jeffrey,,Unincorporated Areas,36.06274,-115.20769,Entire home/apt,86,14,152,2021-07-09,1.74,1,243,9,
2070161,HUGE 2BR/3BA Suite Sleeps 8 @MGMSig!,181985,Paul,,Unincorporated Areas,36.10799,-115.16684,Entire home/apt,360,3,43,2021-06-20,0.61,7,63,1,
2084214,Private Room for rent,9598212,Monica,,City of Las Vegas,36.29252,-115.26438,Private room,149,31,0,,,1,365,0,
2097048,Convenient location 2 LV strip!  m,3475926,Joe,,Unincorporated Areas,36.10987,-115.2636,Entire home/apt,132,1,315,2021-07-08,4.69,7,218,63,
2102455,Quality retreat apartment. 5 min from the strip,7680826,Angel,,Unincorporated Areas,36.11869,-115.1334,Entire home/apt,150,3,242,2021-07-05,2.71,1,277,30,
2113598,2Br Wyndham Grand Desert Resort e3,2995822,Kathy D,,Unincorporated Areas,36.10722,-115.16113,Entire home/apt,199,3,93,2021-07-07,1.26,22,21,3,
2113637,1Br Wyndham Grand Desert Resort e3,2995822,Kathy D,,Unincorporated Areas,36.10832,-115.16148,Entire home/apt,158,3,14,2021-05-31,0.69,22,33,1,
2234029,TRUMP Tower ★ 1bed 2bath ★ 59th Floor ★ Views,8028377,Mario,,Unincorporated Areas,36.1293,-115.17137,Entire home/apt,130,30,6,2020-11-25,0.07,2,243,3,
2243737,3 Bedrooms/2 Baths Townhouse,11460571,Andon,,City of Las Vegas,36.17749,-115.22296,Entire home/apt,188,2,81,2021-07-11,1.10,1,330,12,
2262891,"Private Pool, Spa, Game Room, Putting Green, WIFI!",3474397,Anthony,,City of Las Vegas,36.22647,-115.28938,Entire home/apt,448,3,108,2021-06-18,5.82,12,283,34,
2315691,Artistic & Tranquil Room filled w/ Positive Energy,11825008,Ian,,Unincorporated Areas,36.04906,-115.23142,Private room,75,1,84,2021-07-10,1.60,3,90,16,
2352088,Million Dollar Corner 2BR on Strip,10859837,Julian,,Unincorporated Areas,36.10768,-115.17421,Entire home/apt,300,100,19,2014-07-22,0.21,1,365,0,
2370827,Artistic Master Suite Experience 420 Friendly,11825008,Ian,,Unincorporated Areas,36.05097,-115.23123,Private room,90,1,117,2021-07-05,4.00,3,88,38,
2371637,Quiet & Comfy close to attractions,12115866,Roby,,Unincorporated Areas,36.03442,-115.1449,Entire home/apt,70,180,7,2014-11-03,0.08,1,38,0,
2453319,Casita in Centennial Hills,12544359,Andy,,City of Las Vegas,36.28485,-115.25654,Entire home/apt,75,30,35,2021-05-31,0.43,1,190,4,
2457970,Close to The Vegas Strip! 2 BdRm,12568111,Antoinette,,Unincorporated Areas,36.11294,-115.12799,Entire home/apt,299,2,2,2014-05-29,0.03,40,365,0,
2462269,3 BDRM-Near Strip/CLEAN-SANITIZED/80 meg WIFI/Laun,643197,Theresa,,Unincorporated Areas,36.0985,-115.14897,Entire home/apt,128,30,112,2020-03-14,2.66,5,291,0,
2489745,2 BDRM-Close to Strip/80 mg WIFI/Laundry/SANITIZED,643197,Theresa,,Unincorporated Areas,36.09691,-115.1468,Entire home/apt,125,30,149,2021-02-11,1.72,5,360,3,
2489750,Minutes from Strip/Ldry/80 meg WIFI/SANITIZED,643197,Theresa,,City of Las Vegas,36.14839,-115.11705,Entire home/apt,142,5,193,2021-06-30,2.37,5,214,21,
2525806,4-Bedroom Grand Suite for New Years!,12933233,Bud,,Unincorporated Areas,36.11003,-115.16988,Entire home/apt,1200,3,7,2021-01-02,0.11,1,125,1,
2557252,2Br Lockoff Grand Desert Resort a2,2995822,Kathy D,,Unincorporated Areas,36.10706,-115.16026,Entire home/apt,199,2,125,2021-06-29,1.67,22,25,17,
2635046,The Grandview Resort-1bedroom,2207130,Guy,,Unincorporated Areas,36.009,-115.17572,Entire home/apt,175,3,3,2017-07-30,0.04,7,177,0,
2656867,"♠ Las Vegas, Polo Towers ~ Luxury 1 BR On STRIP  ♠",12609853,Vacation,,Unincorporated Areas,36.1028,-115.1739,Private room,107,2,11,2018-11-02,0.13,5,60,0,
2657543,2 BD/1.5 BA at Lake Mead & Hoover Dam (30+ days),13601548,Elizabeth,,Boulder City,35.99541,-114.81997,Entire home/apt,211,3,79,2021-06-28,1.07,2,361,7,
2709980,Quiet and Tranquil Retreat minutes from Strip,3863047,Desiree,,Unincorporated Areas,36.04653,-115.23183,Entire home/apt,413,2,204,2021-06-21,2.39,1,273,40,
2761243,Apt.1 bedroom pet freindly. UVC Germicidal protect,14103372,Linda,,City of Las Vegas,36.17703,-115.13745,Entire home/apt,65,30,29,2020-12-09,0.33,2,178,1,
2793396,"♠ Las Vegas, Polo Towers Luxury Studio Suite ♠",12609853,Vacation,,Unincorporated Areas,36.10607,-115.17276,Private room,79,2,9,2018-10-07,0.12,5,124,0,
2943419,2Br Lockoff Grand Desert Resort b2,2995822,Kathy D,,Unincorporated Areas,36.10704,-115.15999,Entire home/apt,199,2,84,2021-06-13,1.15,22,31,3,
2978572,✅SANITIZED✅SAFE✅FreeParking2BD2BA-NoResortFee⭐⭐⭐⭐⭐,10933696,Maya,,Unincorporated Areas,36.11051,-115.18362,Entire home/apt,139,1,277,2021-06-28,3.93,11,46,29,
3073776,Amazing Lake Las Vegas 1 Bdm apt,15643135,Mike,,City of Henderson,36.10332,-114.92849,Entire home/apt,124,30,13,2019-10-20,0.15,1,180,0,
3114233,great house sleep twelve,1664772,Jorge Alejandro,,City of North Las Vegas,36.20839,-115.1599,Entire home/apt,174,3,167,2021-06-27,2.54,1,119,24,
3145192,LAS VEGAS GATED ESTATE,15967605,Ally/Jack,,Unincorporated Areas,36.04409,-115.1625,Entire home/apt,600,4,7,2019-05-21,0.16,10,352,0,
3154500,Nevada-Las Vegas-Boulevard 3 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.03363,-115.17288,Entire home/apt,231,3,2,2016-02-20,0.03,11,34,0,
3167087,1BDRM GUESTHOUSE/COTTAGE AFFORDABLE,15967605,Ally/Jack,,Unincorporated Areas,36.04569,-115.15871,Entire home/apt,65,30,3,2021-03-05,0.05,10,54,2,
3234933,3 Bedroom Best Suburb Clean Comfort Self CheckIn,10218263,Robb And June,,Unincorporated Areas,36.10501,-115.31198,Entire home/apt,101,60,13,2020-09-05,0.16,1,162,1,
3251721,"✅SANITIZED✅SAFE
ModernRelaxing 2Bedroom 2Bath⭐⭐⭐⭐⭐",10933696,Maya,,Unincorporated Areas,36.11207,-115.18901,Entire home/apt,133,1,277,2021-06-20,3.47,11,51,43,
3272905,"888 # 7, 2 Bedroom 2 Full Bath (Penthouse).",12018637,888,,Unincorporated Areas,36.13057,-115.1439,Entire home/apt,178,4,33,2019-11-10,0.45,268,0,0,
3284387,"Las Vegas Trop. Ave, NV, 1 Bdrm #1",1381289,Tawny,,Unincorporated Areas,36.0999,-115.21345,Entire home/apt,151,2,10,2021-05-21,0.12,1,29,4,
3294782,"Large 4BD home, giant jacuzzi, near the strip!",16647218,Yaniv,,Unincorporated Areas,36.02953,-115.12361,Entire home/apt,392,2,239,2021-06-27,3.06,1,299,52,
3352765,"Las Vegas 1BR Vacation Suite, Sleeps 4",9858795,Dragon,,Unincorporated Areas,36.10792,-115.16042,Entire home/apt,205,2,6,2015-05-25,0.07,1,365,0,
3353391,New House-Summerlin Area Near Strip.,7020957,Zee,,Unincorporated Areas,36.10341,-115.31361,Entire home/apt,139,30,26,2020-09-20,1.05,9,352,2,
3467393,2 bdrm GuestHouse LakeMead-HooverDam area (30+Day),13601548,Elizabeth,,Boulder City,35.99695,-114.82118,Entire home/apt,182,3,88,2021-07-07,1.09,2,344,13,
3498712,Casa de Sinatra ~ NOT A PARTY HOUSE extended stays,623641,Aaron,,Unincorporated Areas,36.04946,-115.11853,Entire home/apt,600,30,88,2018-08-07,1.19,1,307,0,
3734997,PoloTowers 1bedr  on the strip #4,9464858,Eddie & Barbara,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,158,2,6,2021-06-27,0.07,13,352,1,
3736834,Polo Towers 2bedroom  on the strip #06,9464858,Eddie & Barbara,,Unincorporated Areas,36.10659,-115.17095,Entire home/apt,229,2,29,2021-06-20,0.39,13,346,5,
3780997,Serene Summerlin Condo,14022764,Naomi,,City of Las Vegas,36.18731,-115.31928,Entire home/apt,305,1,13,2017-08-02,0.28,1,285,0,
3783248,Las Vegas Cancun Resort (REDUCED!),8292952,Nubia,,Unincorporated Areas,36.03865,-115.17416,Entire home/apt,125,2,4,2021-04-19,0.05,3,164,3,
3788204,"888 S # 10, 3 BR 2 Bath Convention Center Condos.",12018637,888,,Unincorporated Areas,36.13139,-115.14369,Entire home/apt,166,2,13,2019-10-07,0.16,268,0,0,
3801532,Las Vegas Tropical Pool & Luxury Private Bedrooms,17128038,Franco,,Unincorporated Areas,36.24621,-115.27271,Private room,229,31,0,,,3,362,0,
3818113,Marriott Grand Chateau On The Strip 1BD,19056065,Tony,,Unincorporated Areas,36.10634,-115.16892,Entire home/apt,261,1,17,2021-05-31,0.46,3,251,1,
3905729,Paradise -free solar pool- 15 minutes to the strip,20228130,Paradise,,City of Las Vegas,36.21942,-115.29908,Entire home/apt,310,4,118,2021-06-30,1.45,1,252,29,
3923542,Relaxing Condo  (Long Term Rental 31+ Days),20324893,Andrew,,Unincorporated Areas,36.11103,-115.22323,Entire home/apt,76,30,13,2021-05-07,0.16,1,137,3,
3925611,"888 # 1, MGM Signature Deluxe Suite.",12018637,888,,Unincorporated Areas,36.10892,-115.16768,Private room,223,1,66,2021-01-18,1.43,268,335,2,
3925782,"888 # 2, MGM Signature Deluxe Suite.",12018637,888,,Unincorporated Areas,36.10764,-115.16516,Hotel room,223,1,53,2019-03-03,0.70,268,335,0,
4014326,Stay Together on The Strip - 1 Bedroom Suite,220599292,Lucas,,Unincorporated Areas,36.1105,-115.17347,Entire home/apt,228,2,185,2021-07-08,2.65,14,95,15,
4024858,4 bdrm and hot tub minutes from the strip,20866230,Shaun,,Unincorporated Areas,36.03262,-115.20799,Entire home/apt,281,1,427,2021-06-27,7.28,1,249,81,
4041244,"Beautiful, upscale 5bed/3 full bath",20954117,Therron,,City of North Las Vegas,36.26227,-115.16587,Entire home/apt,165,3,232,2021-07-09,7.94,1,72,62,
4066692,Private Guest House,21090523,Maria,,Unincorporated Areas,36.12719,-115.09599,Entire home/apt,81,4,174,2021-07-10,2.32,1,82,15,
4068810,Palms Place --- City View 32nd Floor!,20488262,Harry,,Unincorporated Areas,36.11413,-115.20368,Entire home/apt,141,1,315,2021-07-10,4.34,2,98,32,
4091317,Comfortable and Relaxing!,21220444,Noman,,City of Las Vegas,36.19205,-115.28211,Entire home/apt,125,1,0,,,2,292,0,
4100282,BEAUTIFUL PLACE!!!,21220444,Noman,,Unincorporated Areas,36.13151,-115.14385,Entire home/apt,167,2,0,,,2,346,0,
4145427,Rest and Relax,5822272,Heather,,City of Henderson,35.98791,-114.92469,Private room,75,30,24,2017-10-30,0.31,1,90,0,
4171500,EXPERIENCE LAS VEGAS,85132,Sanford,,Unincorporated Areas,36.03483,-115.17408,Entire home/apt,286,2,2,2019-01-09,0.03,1,365,0,
4171517,Lake View Condo @ Lake Las Vegas - Long Term ONLY,12589804,Suzana,,City of Henderson,36.1047,-114.93108,Entire home/apt,104,30,20,2021-04-30,0.89,1,89,4,
4235499,Stay Together on The Strip - 1 Bdrm Apt w/View,220599292,Lucas,,Unincorporated Areas,36.10968,-115.17394,Entire home/apt,241,2,188,2021-07-07,2.41,14,101,12,
4239736,MGM Signature 1 BR/ 2 BA/ Balcony/ Full Kitchen@,22000951,Donna,,Unincorporated Areas,36.10618,-115.16717,Entire home/apt,207,2,0,,,3,148,0,
4277821,Las Vegas  2 Bedroom Charming Condo,22208827,Luisa,,Unincorporated Areas,36.09417,-115.10577,Entire home/apt,79,21,26,2021-01-22,1.08,2,143,2,
4317823,Marriott Vegas Strip   1 bedroom,22416014,John,,Unincorporated Areas,36.10628,-115.16984,Entire home/apt,336,1,7,2018-01-11,0.11,1,359,0,
4349688,Luxurious Penthouse Condo in Vegas NO RESORT FEE,22554257,Mark,,Unincorporated Areas,36.10624,-115.16563,Entire home/apt,118,1,566,2021-07-11,7.82,1,236,84,
