id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25581183,"Pool Home, min to fwy, 15 min strip, walk to store",141397938,Jason,,Unincorporated Areas,36.05423,-115.25463,Entire home/apt,615,3,68,2021-09-06,1.94,4,146,12,
25612859,"Luxury home close to Strip, Airport, Highway",10936796,Paula,,Unincorporated Areas,35.99551,-115.18821,Entire home/apt,217,2,85,2021-09-06,2.62,3,53,33,
25618786,"2N Pair-A-Dice Studio by Virgin Casino,UNLV &Strip",326906810,Maria,,Unincorporated Areas,36.10688,-115.1488,Entire home/apt,76,1,79,2021-09-05,2.00,20,78,23,
25619635,**Gorgeous 4BR Home close to Strip Perfect Vaca**,181543577,Miranda,,Unincorporated Areas,36.12249,-115.26361,Entire home/apt,219,2,71,2021-09-05,2.38,4,68,23,
25625127,"3N Three Amigos by Virgin Casino, UNLV and Strip",326906810,Maria,,Unincorporated Areas,36.10519,-115.14768,Entire home/apt,57,1,63,2021-09-19,2.56,20,76,15,
25648953,"Convenient location,clean & Charming",27672738,Omid,,City of Henderson,36.00425,-115.09536,Entire home/apt,109,30,8,2021-06-30,1.39,3,234,3,
25667141,Penthouse Palms Place HUGE Vegas Balcony Hot Tub,5775724,Cassandra And Bryan,,Unincorporated Areas,36.11353,-115.19705,Entire home/apt,776,1,231,2021-09-20,15.47,18,192,91,
25713849,Peaceful Condo in Gated Community mins from Strip,128756464,Michelle,,City of Las Vegas,36.16271,-115.27305,Private room,95,2,39,2021-09-12,1.60,1,137,18,
25721742,"Luxury, Incredible 4 Bedroom Home in Las Vegas",150751554,Carlos,,City of North Las Vegas,36.2196,-115.17021,Entire home/apt,240,3,137,2021-09-12,3.48,6,164,31,
25721879,Desert Paradise Resort 1bdrm,109904033,Colleen,,Unincorporated Areas,36.09672,-115.20791,Entire home/apt,210,2,1,2018-09-24,0.03,82,53,0,
25735067,Mansion Lockdown at 5BR/4BA,185935327,Deron,,Unincorporated Areas,36.09508,-115.1445,Entire home/apt,494,3,91,2021-09-01,2.51,2,193,29,
25777429,"Grandview Las Vegas Condo,  1-BR sleeps 4",112460253,Charlotte,,Unincorporated Areas,36.00858,-115.17552,Entire home/apt,99,7,22,2021-04-16,0.66,14,0,2,
25777621,"(A)FamilyHome,PrivRm,ShareBath,Fridge,Wifi,TV",148684503,Dee,,Unincorporated Areas,36.10913,-115.27052,Private room,61,30,15,2020-04-03,0.47,6,356,0,
25805101,Jacuzzi Suite with Projection Screen TV,25102378,Vegas,,Unincorporated Areas,36.11018,-115.17073,Private room,464,2,27,2021-07-18,2.13,46,358,26,
25811557,Blue room,43379845,Allison,,Unincorporated Areas,36.03186,-115.29285,Private room,40,3,9,2020-01-10,0.25,1,78,0,
25812247,Spacious and beautiful! 70% off 31 night stays!,80795704,Louis,,Unincorporated Areas,36.05416,-115.15748,Entire home/apt,638,4,24,2021-08-31,0.92,2,57,7,
